,label,code,AUC
0,1,1432,1.0
0,1,1472,1.0
0,1,2009,1.0
0,1,2364,1.0
0,1,2405,1.0
0,1,2429,1.0
0,1,2443,1.0
0,1,2467,1.0
0,1,3024,1.0
0,1,3312,1.0
0,1,4108,1.0
0,1,5484,1.0
0,1,6165,1.0
0,1,9912,1.0
0,1,1529,0.875
0,1,2484,0.875
0,1,2614,0.875
0,1,3308,0.875
0,1,6289,0.875
0,1,2020,0.75
0,1,2028,0.75
0,1,8201,0.75
0,1,1605,0.625
0,1,1721,0.625
0,1,2514,0.5
0,1,3008,0.375
0,0,1103,1.0
0,0,1104,1.0
0,0,1108,1.0
0,0,1109,1.0
0,0,1110,1.0
0,0,1213,1.0
0,0,1215,1.0
0,0,1219,1.0
0,0,1220,1.0
0,0,1225,1.0
0,0,1227,1.0
0,0,1229,1.0
0,0,1231,1.0
0,0,1232,1.0
0,0,1233,1.0
0,0,1236,1.0
0,0,1301,1.0
0,0,1304,1.0
0,0,1305,1.0
0,0,1309,1.0
0,0,1314,1.0
0,0,1315,1.0
0,0,1316,1.0
0,0,1319,1.0
0,0,1321,1.0
0,0,1323,1.0
0,0,1324,1.0
0,0,1326,1.0
0,0,1402,1.0
0,0,1435,1.0
0,0,1436,1.0
0,0,1438,1.0
0,0,1440,1.0
0,0,1441,1.0
0,0,1442,1.0
0,0,1443,1.0
0,0,1445,1.0
0,0,1446,1.0
0,0,1451,1.0
0,0,1453,1.0
0,0,1455,1.0
0,0,1457,1.0
0,0,1459,1.0
0,0,1463,1.0
0,0,1464,1.0
0,0,1466,1.0
0,0,1468,1.0
0,0,1469,1.0
0,0,1470,1.0
0,0,1475,1.0
0,0,1476,1.0
0,0,1477,1.0
0,0,1503,1.0
0,0,1504,1.0
0,0,1506,1.0
0,0,1507,1.0
0,0,1512,1.0
0,0,1513,1.0
0,0,1514,1.0
0,0,1515,1.0
0,0,1521,1.0
0,0,1522,1.0
0,0,1526,1.0
0,0,1527,1.0
0,0,1533,1.0
0,0,1535,1.0
0,0,1536,1.0
0,0,1537,1.0
0,0,1541,1.0
0,0,1604,1.0
0,0,1611,1.0
0,0,1614,1.0
0,0,1616,1.0
0,0,1618,1.0
0,0,1702,1.0
0,0,1707,1.0
0,0,1708,1.0
0,0,1709,1.0
0,0,1711,1.0
0,0,1712,1.0
0,0,1713,1.0
0,0,1722,1.0
0,0,1723,1.0
0,0,1724,1.0
0,0,1730,1.0
0,0,1731,1.0
0,0,1732,1.0
0,0,1733,1.0
0,0,1735,1.0
0,0,1808,1.0
0,0,1903,1.0
0,0,1906,1.0
0,0,1907,1.0
0,0,1909,1.0
0,0,2002,1.0
0,0,2006,1.0
0,0,2007,1.0
0,0,2008,1.0
0,0,2012,1.0
0,0,2013,1.0
0,0,2015,1.0
0,0,2017,1.0
0,0,2030,1.0
0,0,2059,1.0
0,0,2102,1.0
0,0,2104,1.0
0,0,2105,1.0
0,0,2107,1.0
0,0,2108,1.0
0,0,2114,1.0
0,0,2201,1.0
0,0,2206,1.0
0,0,2207,1.0
0,0,2227,1.0
0,0,2301,1.0
0,0,2302,1.0
0,0,2312,1.0
0,0,2313,1.0
0,0,2314,1.0
0,0,2321,1.0
0,0,2323,1.0
0,0,2329,1.0
0,0,2331,1.0
0,0,2337,1.0
0,0,2338,1.0
0,0,2340,1.0
0,0,2344,1.0
0,0,2345,1.0
0,0,2347,1.0
0,0,2349,1.0
0,0,2351,1.0
0,0,2356,1.0
0,0,2360,1.0
0,0,2362,1.0
0,0,2365,1.0
0,0,2368,1.0
0,0,2369,1.0
0,0,2380,1.0
0,0,2382,1.0
0,0,2385,1.0
0,0,2388,1.0
0,0,2390,1.0
0,0,2393,1.0
0,0,2395,1.0
0,0,2401,1.0
0,0,2402,1.0
0,0,2406,1.0
0,0,2408,1.0
0,0,2412,1.0
0,0,2413,1.0
0,0,2414,1.0
0,0,2421,1.0
0,0,2423,1.0
0,0,2425,1.0
0,0,2426,1.0
0,0,2427,1.0
0,0,2428,1.0
0,0,2430,1.0
0,0,2433,1.0
0,0,2436,1.0
0,0,2439,1.0
0,0,2440,1.0
0,0,2441,1.0
0,0,2442,1.0
0,0,2449,1.0
0,0,2450,1.0
0,0,2451,1.0
