"code","date","GPM","OPM","NIM","EBITDA","cash","account_receviable","inventory","fixed_asset","invest","liq_asset","liq_liability","leverage","revenue","mkt_value","GOR"
1101,200803,13.91,9.89,9.53,4041764,12423117,7631637,7302870,115287797,-2650659,57091512,29783960,46.86,17906537,191344000,-0.1019
1101,200806,12.17,8.28,11.23,8364504,11760556,9501174,6841077,119771536,-7462419,54362283,42792997,51.4,38460834,133194000,0.0683
1101,200809,11.21,7.83,9.3,11993727,10615331,9283486,8550177,122733210,-10158525,45692556,39599056,52.06,60944205,61399000,0.104
1101,200812,9.9,6.28,8.25,15111414,13033535,8386187,6908626,125807120,-14729131,43762069,39174857,51.7,78476558,88724000,0.0239
1101,200903,9.73,5.77,2.69,2829888,14200950,9431949,5539320,127230295,-1963180,48506002,38714520,51.81,18071221,92016000,0.0092
1101,200906,13.68,10.29,8.91,8236596,11831514,10402409,6542629,127053361,-4322676,48975227,40125808,52.04,39718793,103374000,0.0327
1101,200909,16.13,12.82,12.17,14387220,13825223,11790697,6505156,126684548,-5854190,53451244,38700606,50.71,61931952,118847000,0.0162
1101,200912,17.9,14.37,13.48,21125321,16426107,10591791,6557981,128828473,-8152133,54251716,50754424,50.61,86804345,111933000,0.1061
1101,201003,13.22,9.77,6.62,3971825,17568054,11268842,6679971,128527240,-1705409,68129797,46716890,53.21,22023082,98600000,0.2187
1101,201006,16.06,12.39,9.82,10031102,16624092,13587643,7867475,140355447,-3187629,58415108,57452958,55.72,47971449,89876000,0.2078
1101,201009,16.8,13.25,11.44,17164173,12836138,14332045,7957196,139393786,-6135274,59846089,47121934,52.69,76366989,109958000,0.2331
1101,201012,18.36,14.74,12.61,24828236,32706814,15918356,7296613,139708763,-11505528,82001294,60121542,52.47,106207291,121103000,0.2235
1101,201103,17.9,13.51,9.4,5264274,21429405,17197382,8059799,140342510,-2697365,78662336,55758562,50.39,25350298,131072000,0.1511
1101,201106,19.29,15.79,12.04,13421066,20097071,19856804,8397472,140256833,-4974878,81575502,64627951,52.04,57193716,158025000,0.1922
1101,201109,18.79,15.24,12.22,20540513,17017573,19968207,9491947,144415561,-7547549,72055599,59441445,52.09,87853669,121472000,0.1504
1101,201112,17.36,13.65,11.59,26988104,22140268,18074170,10598551,146486489,-10555535,79269224,62253658,50.62,118496562,129226000,0.1157
1101,201203,12.56,8.23,7.67,5322869,18169976,17558612,10262283,144824317,-1762637,74147213,60355404,49.15,26507496,127564000,0.0456
1101,201206,13.25,9.37,8.58,11381748,21528236,17313083,9912026,144337599,-2601336,77333159,70606269,52.69,57200886,130518000,1e-04
1101,201209,13.29,9.59,8.56,17438607,22022728,18967683,8192966,141865687,-3446874,74772745,61349504,50.42,88362106,134025000,0.0058
1101,201212,14.82,10.94,8.34,23315163,25933465,19203049,9121692,140870704,-4492609,79724188,66985408,49.61,119454948,143625000,0.0081
1101,201303,12.95,8.4,8.29,4529735,18994984,18645075,10684600,110910778,-211456,77599232,65913019,46.72,24114047,138456000,-0.0903
1101,201306,16.57,12.53,10.99,11206513,20171167,20128386,10591130,110566117,-1214973,77446686,68900434,49.12,52784231,136241000,-0.0772
1101,201309,19.06,15.11,13.45,19869596,19104057,23125217,10157813,109695996,-1703237,77580148,73733391,46.62,82891070,158025000,-0.0619
1101,201312,19.66,15.31,13.02,27688979,25711065,25597371,9286227,109369671,-2805066,87788055,70398494,45.66,116098947,170763000,-0.0281
1101,201403,18.21,13.79,10.45,5708941,29329415,22735014,10658127,108111081,-940633,92121458,74388787,44.62,26716227,173532000,0.1079
1101,201406,20.49,16.42,13.01,14124628,29177252,24887122,10115835,106252824,-1405642,89163129,81190613,47.44,58589686,166886000,0.11
1101,201409,21.06,17.1,14.16,22368798,27917164,27198035,10197101,106972592,-2316699,89472928,78920574,45.72,88684641,167255000,0.0699
